prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level
10,156,leather,leather,specific,{} with fold,leather with fold,1.0,1.0,-1.171875,-1.44375,-1.1236213235294117,0.3146837223549385,34,high
11,157,leather,leather,specific,{} with glue,leather with glue,1.0,1.0,-2.296875,-2.5,-2.2316176470588234,0.24240148836915443,34,high
12,158,leather,leather,specific,{} with poke,leather with poke,1.0,1.0,-0.9375,-1.2375,-0.9255514705882353,0.2578071752884126,34,high
9,155,leather,leather,specific,{} with cut,leather with cut,0.7352941176470589,0.7647058823529411,-0.2109375,-0.4921875,-0.15165441176470587,0.31607626019672547,34,medium
7,153,leather,leather,generic,{} with damage,leather with damage,0.6764705882352942,0.7058823529411765,-0.15625,-0.328125,-0.08272058823529412,0.2507894649952329,34,medium
8,154,leather,leather,specific,{} with color stain,leather with color stain,0.0,0.029411764705882353,0.4609375,0.14687500000000003,0.47058823529411764,0.2766101317895831,34,medium
0,146,leather,leather,generic,damaged {},damaged leather,0.0,0.0,0.4921875,0.296875,0.5082720588235294,0.19156272843424685,34,medium
1,147,leather,leather,generic,flawed {},flawed leather,0.0,0.0,2.5546875,2.275,2.538143382352941,0.2206356222079497,34,medium
2,148,leather,leather,generic,abnormal {},abnormal leather,0.0,0.0,1.4453125,1.1296875,1.4885110294117647,0.32854727781101545,34,medium
3,149,leather,leather,generic,imperfect {},imperfect leather,0.0,0.0,2.203125,2.0203125,2.27734375,0.25921001851230735,34,medium
4,150,leather,leather,generic,blemished {},blemished leather,0.0,0.0,0.609375,0.3796875,0.6750919117647058,0.25796645948198127,34,medium
5,151,leather,leather,generic,{} with flaw,leather with flaw,0.0,0.0,2.28125,1.9,2.23828125,0.2397083889442315,34,medium
6,152,leather,leather,generic,{} with defect,leather with defect,0.0,0.0,1.1796875,0.99375,1.2219669117647058,0.20665691434617048,34,medium
