prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level
6,254,pill,pill,generic,{} with defect,pill with defect,1.0,1.0,-1.5625,-2.721875,-1.6545758928571428,0.7208739397327455,28,high
11,259,pill,pill,specific,{} with faulty imprint,pill with faulty imprint,1.0,1.0,-3.9609375,-5.321875,-3.982700892857143,1.0765576346765895,28,high
0,248,pill,pill,generic,damaged {},damaged pill,0.8571428571428571,0.8928571428571429,-0.7421875,-2.0203125,-0.8928571428571429,0.8137515503018244,28,high
13,261,pill,pill,specific,{} with abnormal type,pill with abnormal type,0.8571428571428571,0.8928571428571429,-1.921875,-3.0671875,-1.6177455357142858,1.1885603975475805,28,high
3,251,pill,pill,generic,imperfect {},imperfect pill,0.8214285714285714,0.8571428571428571,-0.6484375,-1.7546875,-0.7053571428571429,0.8207717069889912,28,medium
10,258,pill,pill,specific,{} with crack,pill with crack,0.5714285714285714,0.6071428571428571,-0.1640625,-1.215625,-0.21986607142857142,0.6592978830399768,28,medium
5,253,pill,pill,generic,{} with flaw,pill with flaw,0.4642857142857143,0.5,0.0390625,-0.9578125,-0.13671875,0.7066334220147381,28,medium
8,256,pill,pill,specific,{} with color stain,pill with color stain,0.39285714285714285,0.39285714285714285,0.390625,-1.0796875,0.115234375,0.9666520003285144,28,low
7,255,pill,pill,generic,{} with damage,pill with damage,0.25,0.2857142857142857,0.484375,-0.38906249999999987,0.4916294642857143,0.747070195265597,28,low
12,260,pill,pill,specific,{} with scratch,pill with scratch,0.17857142857142858,0.21428571428571427,0.5078125,-0.19218749999999996,0.5680803571428571,0.6466697381501304,28,low
1,249,pill,pill,generic,flawed {},flawed pill,0.10714285714285714,0.14285714285714285,1.4453125,-0.024999999999999967,1.3013392857142858,0.7828316260545912,28,low
2,250,pill,pill,generic,abnormal {},abnormal pill,0.0,0.0,2.9453125,2.0359375,2.9765625,0.6991641913071993,28,low
4,252,pill,pill,generic,blemished {},blemished pill,0.0,0.0,2.3828125,1.190625,2.3744419642857144,0.9785781175943667,28,low
9,257,pill,pill,specific,{} with contamination,pill with contamination,0.0,0.0,3.2734375,2.1796875,3.1607142857142856,0.8434074323473653,28,low
