prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level
14,39,candle,candle,specific,{} with different colour spot,candle with different colour spot,1.0,1.0,-5.671875,-7.4375,-5.838541666666667,1.259819175713221,1002,high
0,25,candle,candle,generic,damaged {},damaged candle,0.8552894211576846,0.8822355289421158,-0.515625,-1.140625,-0.5270084830339321,0.5022446525029745,1002,high
7,32,candle,candle,generic,{} with damage,candle with damage,0.6786427145708582,0.7285429141716567,-0.265625,-0.921875,-0.2753243512974052,0.531986500797264,1002,high
13,38,candle,candle,specific,{} with damaged corner of packaging,candle with damaged corner of packaging,0.5668662674650699,0.5948103792415169,-0.171875,-1.265625,-0.13733470558882235,0.8900785110352974,1002,medium
11,36,candle,candle,specific,{} with chunk of wax missing,candle with chunk of wax missing,0.469061876247505,0.5139720558882236,0.03125,-0.7328124999999999,-0.014494448602794412,0.5956454195757874,1002,medium
6,31,candle,candle,generic,{} with defect,candle with defect,0.4620758483033932,0.48902195608782434,0.0859375,-1.1390624999999999,-0.022704590818363273,0.8045158430824426,1002,medium
8,33,candle,candle,specific,{} with melded wax,candle with melded wax,0.45109780439121755,0.47904191616766467,0.078125,-0.8421874999999999,0.00999563373253493,0.6667494620720464,1002,medium
3,28,candle,candle,generic,imperfect {},imperfect candle,0.11976047904191617,0.13872255489021956,1.09375,-0.109375,0.9803050149700598,0.7859977702493823,1002,medium
5,30,candle,candle,generic,{} with flaw,candle with flaw,0.08383233532934131,0.09181636726546906,0.875,0.109375,0.8403427519960079,0.5931120761881158,1002,low
1,26,candle,candle,generic,flawed {},flawed candle,0.07385229540918163,0.08582834331337326,1.234375,0.1875,1.148102233033932,0.7343547258849437,1002,low
2,27,candle,candle,generic,abnormal {},abnormal candle,0.06686626746506986,0.07684630738522955,1.1484375,0.171875,1.098880364271457,0.7152923105734282,1002,low
10,35,candle,candle,specific,{} with extra wax,candle with extra wax,0.033932135728542916,0.04291417165668663,1.296875,0.45390625000000007,1.2747941616766467,0.6554946476897112,1002,low
9,34,candle,candle,specific,{} with foreign particals,candle with foreign particals,0.02694610778443114,0.031936127744510975,2.328125,1.0,2.1662534306387227,0.8794237324099227,1002,low
4,29,candle,candle,generic,blemished {},blemished candle,0.005988023952095809,0.008982035928143712,2.125,1.328125,2.0706321731536925,0.6146017675706845,1002,low
12,37,candle,candle,specific,{} with weird candle wick,candle with weird candle wick,0.001996007984031936,0.001996007984031936,1.765625,1.0867187500000002,1.734086514471058,0.5016352630369264,1002,low
