prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level
6,59,capsules,capsules,generic,{} with defect,capsules with defect,1.0,1.0,-2.5,-3.3234375,-2.531043046357616,0.6415228191038502,604,high
7,60,capsules,capsules,generic,{} with damage,capsules with damage,0.9966887417218543,1.0,-1.6171875,-2.4484375,-1.6459799254966887,0.6116961736458844,604,high
9,62,capsules,capsules,specific,{} with discolor,capsules with discolor,1.0,1.0,-3.390625,-4.1984375,-3.404827193708609,0.6312459504708722,604,high
4,57,capsules,capsules,generic,blemished {},blemished capsules,0.9966887417218543,0.9966887417218543,-1.671875,-2.46875,-1.6790407698675496,0.6275081494011421,604,medium
3,56,capsules,capsules,generic,imperfect {},imperfect capsules,0.9751655629139073,0.9801324503311258,-1.21875,-2.09375,-1.254009726821192,0.6734659445741918,604,medium
10,63,capsules,capsules,specific,{} with misshape,capsules with misshape,0.8278145695364238,0.8526490066225165,-0.59375,-1.34375,-0.5969577814569537,0.5959999465926618,604,medium
11,64,capsules,capsules,specific,{} with leak,capsules with leak,0.8062913907284768,0.8377483443708609,-0.53125,-1.34375,-0.5675962334437086,0.6310348476658288,604,medium
12,65,capsules,capsules,specific,{} with bubble,capsules with bubble,0.7864238410596026,0.8195364238410596,-0.53125,-1.4328124999999998,-0.5534457781456954,0.679112837438289,604,low
0,53,capsules,capsules,generic,damaged {},damaged capsules,0.7218543046357616,0.7466887417218543,-0.375,-1.171875,-0.38371792218543044,0.617148849494442,604,low
2,55,capsules,capsules,generic,abnormal {},abnormal capsules,0.2897350993377483,0.3294701986754967,0.3125,-0.453125,0.29847889072847683,0.5810024776673851,604,low
8,61,capsules,capsules,specific,{} with scratch,capsules with scratch,0.16225165562913907,0.18211920529801323,0.75,-0.21875,0.7723768625827815,0.7800379196662075,604,low
1,54,capsules,capsules,generic,flawed {},flawed capsules,0.004966887417218543,0.004966887417218543,2.421875,1.3171875000000002,2.4130536009933774,0.8555525507306627,604,low
5,58,capsules,capsules,generic,{} with flaw,capsules with flaw,0.0,0.0,4.640625,3.625,4.625077607615894,0.7269434799619695,604,low
