prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin,q10_margin,mean_margin,std_margin,num_samples,risk_level
9,115,fryum,fryum,specific,{} with scratches,fryum with scratches,1.0,1.0,-1.423828125,-2.05078125,-1.4348932395418326,0.4660153466257481,502,high
11,117,fryum,fryum,specific,{} with colour spot,fryum with colour spot,1.0,1.0,-2.23046875,-2.85390625,-2.2424909736055776,0.509621916747696,502,high
13,119,fryum,fryum,specific,{} with colour spot,fryum with colour spot,1.0,1.0,-2.23046875,-2.85390625,-2.2424909736055776,0.509621916747696,502,high
1,107,fryum,fryum,generic,flawed {},flawed fryum,0.9820717131474104,0.9840637450199203,-1.5,-2.463671875,-1.4954245517928286,0.738182211305167,502,medium
5,111,fryum,fryum,generic,{} with flaw,fryum with flaw,0.9760956175298805,0.9840637450199203,-0.927734375,-1.6328125,-0.9434527514940239,0.5179257832103358,502,medium
8,114,fryum,fryum,specific,{} with breakage,fryum with breakage,0.9581673306772909,0.9681274900398407,-1.1328125,-1.8828125,-1.102504046314741,0.6064554735532663,502,medium
3,109,fryum,fryum,generic,imperfect {},imperfect fryum,0.9083665338645418,0.9143426294820717,-1.15234375,-2.249609375,-1.1388975348605577,0.8579062452868518,502,medium
6,112,fryum,fryum,generic,{} with defect,fryum with defect,0.8844621513944223,0.9143426294820717,-0.49609375,-1.085546875,-0.5216866907370518,0.433794972884422,502,medium
0,106,fryum,fryum,generic,damaged {},damaged fryum,0.7928286852589641,0.8286852589641435,-0.37890625,-1.054296875,-0.41941608565737054,0.490549174176549,502,low
2,108,fryum,fryum,generic,abnormal {},abnormal fryum,0.1394422310756972,0.16334661354581673,0.779296875,-0.13515624999999998,0.797824327689243,0.697296724751419,502,low
7,113,fryum,fryum,generic,{} with damage,fryum with damage,0.09163346613545817,0.11553784860557768,0.658203125,0.027734375000000006,0.6449047559760956,0.48146561105360247,502,low
12,118,fryum,fryum,specific,{} with fryum stuck together,fryum with fryum stuck together,0.0,0.00199203187250996,1.62890625,0.98828125,1.6130205739541832,0.47828567028971647,502,low
4,110,fryum,fryum,generic,blemished {},blemished fryum,0.0,0.0,1.984375,1.375390625,1.9692285545318724,0.43492329808056734,502,low
10,116,fryum,fryum,specific,{} with burnt,fryum with burnt,0.0,0.0,2.158203125,1.551171875,2.155518550796813,0.47267914014038837,502,low
