prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
0,1,bottle,bottle,generic,damaged {},damaged bottle,1.0,1.0,-2.164,-2.172,0.2203,-2.47109375,-1.93359375,22,-2.094,-2.102,0.5674,-2.65625,-1.4234375,63,-0.0703,dangerous_useless
1,2,bottle,bottle,generic,flawed {},flawed bottle,1.0,1.0,-0.922,-0.8906,0.213,-1.11484375,-0.6601562499999998,22,-0.1094,-0.1716,0.6343,-1.03125,0.64375,63,-0.8125,dangerous_useless
2,3,bottle,bottle,generic,abnormal {},abnormal bottle,0.3181818181818182,0.36363636363636365,0.3281,0.4634,0.6987,-0.315625,1.4703125000000001,22,0.1953,0.3857,0.8594,-0.4875,1.3375000000000001,63,0.1328,dangerous_useful
3,4,bottle,bottle,generic,imperfect {},imperfect bottle,1.0,1.0,-3.676,-3.709,0.3713,-4.25390625,-3.1460937499999995,22,-2.508,-2.518,1.165,-4.00625,-0.9734374999999995,63,-1.168,dangerous_useless
4,5,bottle,bottle,generic,blemished {},blemished bottle,1.0,1.0,-1.48,-1.465,0.1864,-1.71484375,-1.23046875,22,-0.6797,-0.5513,0.9893,-1.6875,0.890625,63,-0.801,dangerous_useless
5,6,bottle,bottle,generic,{} with flaw,bottle with flaw,0.09090909090909091,0.13636363636363635,0.2188,0.2397,0.2032,0.012500000000000004,0.47500000000000003,22,0.0703,0.05368,0.6157,-0.6484375,0.8296875000000004,63,0.1484,safe
6,7,bottle,bottle,generic,{} with defect,bottle with defect,0.3181818181818182,0.36363636363636365,0.1211,0.0966,0.2874,-0.24140625,0.4320312500000003,22,-0.3672,-0.3594,0.9297,-1.5390625,0.8031250000000003,63,0.4883,dangerous_useful
7,8,bottle,bottle,generic,{} with damage,bottle with damage,0.9090909090909091,0.9545454545454546,-0.4648,-0.4797,0.359,-0.90546875,-0.12343749999999987,22,-1.078,-1.134,0.6562,-2.075,-0.37499999999999983,63,0.6133,dangerous_useful
8,9,bottle,bottle,specific,{} with large breakage,bottle with large breakage,1.0,1.0,-1.109,-1.065,0.6,-1.909375,-0.29687499999999983,22,-1.719,-1.747,0.5522,-2.2890625,-1.1203124999999998,63,0.6094,dangerous_useful
9,10,bottle,bottle,specific,{} with small breakage,bottle with small breakage,1.0,1.0,-1.895,-1.79,0.7065,-2.74921875,-0.7960937499999997,22,-2.43,-2.361,0.581,-2.9703125,-1.5343749999999998,63,0.535,dangerous_useful
10,11,bottle,bottle,specific,{} with contamination,bottle with contamination,0.09090909090909091,0.09090909090909091,0.2734,0.3508,0.269,0.103125,0.7515625000000001,22,0.3047,0.2478,0.5825,-0.375,1.1000000000000003,63,-0.03125,safe
