prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
0,12,cable,cable,generic,damaged {},damaged cable,0.9666666666666667,0.9666666666666667,-0.8945,-0.9146,0.4966,-1.54609375,-0.3617187499999999,60,-0.965,-0.959,0.518,-1.59296875,-0.4390624999999999,92,0.0703,dangerous_useful
1,13,cable,cable,generic,flawed {},flawed cable,0.23333333333333334,0.25,0.633,0.4844,0.8086,-0.8765625,1.38359375,60,0.2188,0.0062,0.8647,-1.18359375,1.078125,92,0.414,dangerous_useful
2,14,cable,cable,generic,abnormal {},abnormal cable,0.6166666666666667,0.65,-0.1094,-0.2416,0.4944,-0.89140625,0.36796875,60,-0.3828,-0.4807,0.6333,-1.18515625,0.3125,92,0.2734,dangerous_useful
3,15,cable,cable,generic,imperfect {},imperfect cable,1.0,1.0,-2.508,-2.521,0.2878,-2.9078125,-2.18984375,60,-2.562,-2.451,0.49,-2.94375,-1.8937499999999998,92,0.0547,dangerous_useful
4,16,cable,cable,generic,blemished {},blemished cable,0.18333333333333332,0.2,0.4336,0.292,0.541,-0.671875,0.75859375,60,0.2852,-0.0366,0.7324,-1.13125,0.7265625,92,0.1484,dangerous_useful
5,17,cable,cable,generic,{} with flaw,cable with flaw,0.21666666666666667,0.25,0.3203,0.2964,0.3843,-0.15078124999999998,0.81640625,60,0.3555,0.362,0.5645,-0.3453125,1.1148437500000001,92,-0.03516,dangerous_useless
6,18,cable,cable,generic,{} with defect,cable with defect,1.0,1.0,-2.473,-2.42,0.552,-3.02578125,-1.7734375,60,-1.914,-1.931,0.786,-2.878125,-0.7820312499999995,92,-0.5586,dangerous_useless
7,19,cable,cable,generic,{} with damage,cable with damage,0.95,0.9666666666666667,-0.6484,-0.6265,0.3572,-1.06328125,-0.13828124999999997,60,-0.7227,-0.724,0.5137,-1.225,-0.10937499999999956,92,0.0742,dangerous_useful
8,20,cable,cable,specific,{} with bent wire,cable with bent wire,0.26666666666666666,0.26666666666666666,0.3398,0.3157,0.5854,-0.39531249999999996,1.0625,60,0.1953,0.1971,0.874,-0.89453125,1.11640625,92,0.1445,dangerous_useful
9,21,cable,cable,specific,{} with missing part,cable with missing part,1.0,1.0,-0.8555,-0.8696,0.2625,-1.23515625,-0.57734375,60,-0.7617,-0.8037,0.5176,-1.51484375,-0.26015624999999987,92,-0.09375,dangerous_useless
10,22,cable,cable,specific,{} with missing wire,cable with missing wire,1.0,1.0,-1.453,-1.455,0.3403,-1.8328125,-0.9828125,60,-1.297,-1.264,0.631,-2.0546875,-0.5906249999999997,92,-0.1562,dangerous_useless
11,23,cable,cable,specific,{} with cut,cable with cut,1.0,1.0,-1.152,-1.132,0.2423,-1.440625,-0.81953125,60,-1.176,-1.025,0.5767,-1.4984375,-0.4562499999999994,92,0.02344,dangerous_useful
12,24,cable,cable,specific,{} with poke,cable with poke,0.7833333333333333,0.7833333333333333,-0.836,-0.8228,0.998,-2.0085937499999997,0.4828125000000001,60,-1.258,-1.215,1.065,-2.571875,0.15234375000000067,92,0.4219,dangerous_useful
