prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
0,134,hazelnut,hazelnut,generic,damaged {},damaged hazelnut,1.0,1.0,-4.547,-4.434,0.9,-5.6796875,-3.20625,42,-4.35,-4.42,0.911,-5.421875,-3.3578125,70,-0.1953,dangerous_useless
1,135,hazelnut,hazelnut,generic,flawed {},flawed hazelnut,1.0,1.0,-2.281,-2.178,0.728,-2.9453125,-1.5015625,42,-2.75,-2.844,0.9004,-4.0859375,-1.746875,70,0.4688,dangerous_useful
2,136,hazelnut,hazelnut,generic,abnormal {},abnormal hazelnut,0.0,0.0,1.609,1.552,0.884,0.390625,2.6296874999999997,42,1.07,1.048,1.029,-0.2375,2.465625,70,0.539,safe
3,137,hazelnut,hazelnut,generic,imperfect {},imperfect hazelnut,1.0,1.0,-2.867,-2.781,0.5083,-3.30625,-2.184375,42,-3.352,-3.23,0.627,-3.8640625,-2.359375,70,0.4844,dangerous_useful
4,138,hazelnut,hazelnut,generic,blemished {},blemished hazelnut,0.9761904761904762,0.9761904761904762,-0.4688,-0.497,0.321,-0.921875,-0.09531250000000002,42,-0.4922,-0.553,0.4673,-1.1734375,-0.125,70,0.02344,dangerous_useful
5,139,hazelnut,hazelnut,generic,{} with flaw,hazelnut with flaw,0.14285714285714285,0.16666666666666666,0.828,0.7954,0.758,-0.046875,1.7015625,42,0.3203,0.3445,0.857,-0.83125,1.471875,70,0.508,safe
6,140,hazelnut,hazelnut,generic,{} with defect,hazelnut with defect,1.0,1.0,-1.547,-1.57,0.7114,-2.4796875,-0.5328125,42,-0.9688,-0.965,0.919,-2.1062499999999997,0.2578125000000001,70,-0.578,dangerous_useless
7,141,hazelnut,hazelnut,generic,{} with damage,hazelnut with damage,1.0,1.0,-2.188,-2.104,0.7285,-2.89375,-1.0421875000000003,42,-2.32,-2.332,0.8525,-3.4859375,-1.1296874999999997,70,0.1328,dangerous_useful
8,142,hazelnut,hazelnut,specific,{} with crack,hazelnut with crack,0.07142857142857142,0.07142857142857142,0.625,0.694,0.479,0.17968750000000006,1.2453124999999998,42,0.1562,0.1322,0.5693,-0.6734375,0.84375,70,0.4688,safe
9,143,hazelnut,hazelnut,specific,{} with cut,hazelnut with cut,1.0,1.0,-1.914,-1.873,0.5854,-2.6578125,-1.0687500000000003,42,-1.875,-1.852,0.6426,-2.6765625,-1.0296875,70,-0.03906,dangerous_useless
10,144,hazelnut,hazelnut,specific,{} with hole,hazelnut with hole,0.0,0.0,3.312,3.262,0.907,2.1046875000000003,4.2671874999999995,42,1.359,1.309,1.275,-0.3187499999999999,2.925,70,1.953,safe
11,145,hazelnut,hazelnut,specific,{} with print,hazelnut with print,0.0,0.0,3.188,3.207,0.8745,2.0171875,4.4265625,42,2.172,2.146,1.377,0.27656250000000004,3.7648437500000003,70,1.016,safe
