prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
0,146,leather,leather,generic,damaged {},damaged leather,0.6176470588235294,0.6470588235294118,-0.2344,-0.2141,0.4907,-0.959375,0.3953124999999999,34,-2.266,-2.178,0.8623,-3.2,-1.0999999999999996,92,2.031,dangerous_useful
1,147,leather,leather,generic,flawed {},flawed leather,0.11764705882352941,0.11764705882352941,0.6094,0.653,0.4802,0.00781250000000002,1.3421874999999999,34,-0.4297,-0.4192,0.3193,-0.78125,-0.078125,92,1.039,safe
2,148,leather,leather,generic,abnormal {},abnormal leather,0.0,0.0,2.39,2.418,0.1897,2.234375,2.63046875,34,2.766,2.799,0.4214,2.3796875,3.3875,92,-0.375,safe
3,149,leather,leather,generic,imperfect {},imperfect leather,0.6764705882352942,0.6764705882352942,-0.2969,-0.29,0.464,-0.8890625,0.26718749999999997,34,-1.328,-1.292,0.4443,-1.825,-0.671875,92,1.031,dangerous_useful
4,150,leather,leather,generic,blemished {},blemished leather,0.5882352941176471,0.5882352941176471,-0.1406,-0.07306,0.4646,-0.7671875,0.5093749999999999,34,-1.07,-1.009,0.2856,-1.2640625,-0.6281249999999998,92,0.9297,dangerous_useful
5,151,leather,leather,generic,{} with flaw,leather with flaw,0.058823529411764705,0.11764705882352941,0.6484,0.545,0.3376,0.051562500000000004,0.8234375,34,-1.234,-1.148,0.6426,-1.828125,-0.3312499999999998,92,1.883,safe
6,152,leather,leather,generic,{} with defect,leather with defect,0.6764705882352942,0.7647058823529411,-0.25,-0.2708,0.4338,-0.8421875,0.25625,34,-1.633,-1.632,0.5146,-2.2171875,-0.984375,92,1.383,dangerous_useful
7,153,leather,leather,generic,{} with damage,leather with damage,0.0,0.0,0.547,0.56,0.1488,0.3203125,0.7453125,34,-0.3672,-0.514,0.639,-1.375,0.1546875000000001,92,0.914,safe
8,154,leather,leather,specific,{} with color stain,leather with color stain,1.0,1.0,-4.023,-4.027,0.1842,-4.225,-3.790625,34,-2.664,-2.584,1.601,-4.484375,-0.515625,92,-1.359,dangerous_useless
9,155,leather,leather,specific,{} with cut,leather with cut,1.0,1.0,-3.5,-3.49,0.1117,-3.625,-3.34375,34,-2.367,-2.607,0.869,-3.71875,-1.6265625,92,-1.133,dangerous_useless
10,156,leather,leather,specific,{} with fold,leather with fold,1.0,1.0,-2.375,-2.36,0.1917,-2.5890625,-2.134375,34,-1.781,-1.874,0.527,-2.6390625,-1.2828125,92,-0.5938,dangerous_useless
11,157,leather,leather,specific,{} with glue,leather with glue,1.0,1.0,-2.422,-2.441,0.11926,-2.615625,-2.3125,34,-2.734,-2.803,0.4312,-3.371875,-2.3140625,92,0.3125,dangerous_useful
12,158,leather,leather,specific,{} with poke,leather with poke,0.08823529411764706,0.08823529411764706,0.633,0.6606,0.481,0.08281250000000001,1.3312499999999998,34,-0.3281,-0.315,0.3699,-0.7953125,0.014062500000000089,92,0.961,safe
