prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
0,248,pill,pill,generic,damaged {},damaged pill,1.0,1.0,-5.812,-5.008,1.494,-6.4109375,-2.91171875,28,-5.89,-5.53,1.24,-6.6875,-4.0,141,0.0781,dangerous_useful
1,249,pill,pill,generic,flawed {},flawed pill,0.32142857142857145,0.35714285714285715,0.461,0.334,0.566,-0.43437499999999996,0.95625,28,0.2969,0.3013,0.565,-0.390625,1.078125,141,0.1641,dangerous_useful
2,250,pill,pill,generic,abnormal {},abnormal pill,0.8928571428571429,0.8928571428571429,-2.562,-2.074,1.462,-3.68125,0.015625000000000555,28,-2.375,-2.238,1.227,-3.515625,-0.5625,141,-0.1875,dangerous_useless
3,251,pill,pill,generic,imperfect {},imperfect pill,1.0,1.0,-4.625,-4.4,0.9717,-5.4109375,-3.1687499999999997,28,-4.58,-4.387,1.105,-5.5,-3.078125,141,-0.04688,dangerous_useless
4,252,pill,pill,generic,blemished {},blemished pill,0.9642857142857143,0.9642857142857143,-1.797,-1.493,0.71,-2.01015625,-0.5234374999999998,28,-1.781,-1.555,0.691,-2.109375,-0.625,141,-0.01563,dangerous_useless
5,253,pill,pill,generic,{} with flaw,pill with flaw,0.9642857142857143,0.9642857142857143,-4.094,-3.615,1.305,-4.8171875,-1.8249999999999997,28,-4.125,-3.777,1.3545,-4.828125,-2.171875,141,0.03125,dangerous_useful
6,254,pill,pill,generic,{} with defect,pill with defect,1.0,1.0,-4.938,-4.42,1.26,-5.61875,-2.615625,28,-4.984,-4.785,1.103,-5.875,-3.4375,141,0.04688,dangerous_useful
7,255,pill,pill,generic,{} with damage,pill with damage,0.9642857142857143,0.9642857142857143,-2.555,-2.178,1.056,-3.125,-0.6132812499999998,28,-2.938,-2.77,0.9707,-3.796875,-1.46875,141,0.3828,dangerous_useful
8,256,pill,pill,specific,{} with color stain,pill with color stain,1.0,1.0,-2.586,-2.639,0.8525,-3.6375,-1.6984374999999998,28,-3.125,-3.152,0.9297,-4.40625,-2.0625,141,0.539,dangerous_useful
9,257,pill,pill,specific,{} with contamination,pill with contamination,0.8214285714285714,0.8571428571428571,-1.648,-1.636,1.425,-3.2625,0.353125,28,-2.39,-2.3,1.257,-3.703125,-0.53125,141,0.742,dangerous_useful
10,258,pill,pill,specific,{} with crack,pill with crack,1.0,1.0,-3.25,-3.12,0.758,-3.925,-2.20625,28,-3.5,-3.266,0.986,-4.125,-2.3125,141,0.25,dangerous_useful
11,259,pill,pill,specific,{} with faulty imprint,pill with faulty imprint,1.0,1.0,-7.17,-6.816,1.602,-8.4109375,-4.59375,28,-7.22,-7.01,1.371,-8.40625,-5.671875,141,0.04688,dangerous_useful
12,260,pill,pill,specific,{} with scratch,pill with scratch,1.0,1.0,-2.086,-1.924,0.572,-2.4421875,-1.209375,28,-2.031,-1.936,0.66,-2.625,-0.90625,141,-0.0547,dangerous_useless
13,261,pill,pill,specific,{} with abnormal type,pill with abnormal type,1.0,1.0,-2.664,-2.285,1.256,-3.7078125,-0.6828125,28,-2.734,-2.635,1.082,-3.84375,-1.171875,141,0.0703,dangerous_useful
