prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
0,300,toothbrush,toothbrush,generic,damaged {},damaged toothbrush,1.0,1.0,-1.047,-1.104,0.2983,-1.49921875,-0.7070312499999998,14,-1.066,-1.005,0.628,-1.7046875,-0.34062499999999996,30,0.01953,dangerous_useful
1,301,toothbrush,toothbrush,generic,flawed {},flawed toothbrush,1.0,1.0,-3.648,-3.533,0.6807,-4.4109375,-2.5484375,14,-3.195,-2.93,1.055,-4.16875,-1.4617187499999997,30,-0.4531,dangerous_useless
2,302,toothbrush,toothbrush,generic,abnormal {},abnormal toothbrush,0.0,0.0,1.461,1.408,0.3867,0.96328125,1.7296875,14,1.23,1.255,0.5674,0.60625,2.0226562500000003,30,0.2305,safe
3,303,toothbrush,toothbrush,generic,imperfect {},imperfect toothbrush,1.0,1.0,-3.984,-4.01,0.4358,-4.5125,-3.4984375,14,-3.64,-3.787,0.636,-4.7109375,-2.9703125,30,-0.3438,dangerous_useless
4,304,toothbrush,toothbrush,generic,blemished {},blemished toothbrush,0.0,0.14285714285714285,0.2734,0.2444,0.142,0.060937500000000006,0.4250000000000001,14,0.0547,0.02031,0.336,-0.3921875,0.40859375000000003,30,0.2188,safe
5,305,toothbrush,toothbrush,generic,{} with flaw,toothbrush with flaw,1.0,1.0,-2.547,-2.607,0.314,-3.06015625,-2.1875,14,-2.45,-2.42,0.696,-3.425,-1.5351562499999998,30,-0.09766,dangerous_useless
6,306,toothbrush,toothbrush,generic,{} with defect,toothbrush with defect,1.0,1.0,-2.61,-2.594,0.439,-3.16875,-2.0156249999999996,14,-1.965,-1.92,0.975,-2.93125,-0.8570312499999992,30,-0.6445,dangerous_useless
7,307,toothbrush,toothbrush,generic,{} with damage,toothbrush with damage,0.8571428571428571,1.0,-0.3438,-0.3315,0.2191,-0.5734375,-0.008593749999999942,14,-0.254,-0.1484,0.7075,-0.928125,0.5117187500000002,30,-0.08984,dangerous_useless
8,308,toothbrush,toothbrush,specific,{} with defect,toothbrush with defect,1.0,1.0,-2.61,-2.594,0.439,-3.16875,-2.0156249999999996,14,-1.965,-1.92,0.975,-2.93125,-0.8570312499999992,30,-0.6445,dangerous_useless
9,309,toothbrush,toothbrush,specific,{} with anomaly,toothbrush with anomaly,0.7857142857142857,0.7857142857142857,-0.2266,-0.3293,0.446,-0.99453125,0.15000000000000013,14,-0.535,-0.5166,0.4822,-1.1046875,0.1085937500000001,30,0.3086,dangerous_useful
