prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
0,310,transistor,transistor,generic,damaged {},damaged transistor,1.0,1.0,-4.65,-4.625,1.043,-5.77890625,-3.1234375,62,-5.062,-5.07,1.321,-7.165625,-3.440625,40,0.414,dangerous_useful
1,311,transistor,transistor,generic,flawed {},flawed transistor,1.0,1.0,-3.598,-3.334,1.071,-4.37890625,-1.8085937500000004,62,-3.395,-3.191,1.071,-4.47265625,-1.6875,40,-0.2031,dangerous_useless
2,312,transistor,transistor,generic,abnormal {},abnormal transistor,1.0,1.0,-1.547,-1.623,0.4963,-2.2015625,-1.0171875,62,-1.57,-1.31,0.9497,-2.1640625,-0.1687499999999994,40,0.02344,dangerous_useful
3,313,transistor,transistor,generic,imperfect {},imperfect transistor,1.0,1.0,-2.809,-2.758,0.5464,-3.365625,-2.175,62,-2.7,-2.586,0.8955,-3.43828125,-1.7999999999999998,40,-0.1094,dangerous_useless
4,314,transistor,transistor,generic,blemished {},blemished transistor,1.0,1.0,-1.363,-1.242,0.4102,-1.7328125,-0.74375,62,-1.16,-1.145,0.4417,-1.68046875,-0.5296875,40,-0.2031,dangerous_useless
5,315,transistor,transistor,generic,{} with flaw,transistor with flaw,1.0,1.0,-3.902,-3.723,0.926,-5.0203125,-2.4914062500000003,62,-3.945,-3.707,1.033,-4.878125,-2.30625,40,0.04297,dangerous_useful
6,316,transistor,transistor,generic,{} with defect,transistor with defect,1.0,1.0,-7.83,-7.707,1.165,-9.0296875,-5.8140625,62,-8.0,-7.555,1.57,-9.27890625,-4.8804687499999995,40,0.1719,dangerous_useful
7,317,transistor,transistor,generic,{} with damage,transistor with damage,1.0,1.0,-6.227,-6.01,1.046,-7.184375,-4.5640625,62,-6.133,-6.043,1.368,-7.5171874999999995,-4.182031249999999,40,-0.09375,dangerous_useless
8,318,transistor,transistor,specific,{} with bent lead,transistor with bent lead,1.0,1.0,-6.86,-6.465,1.289,-7.75703125,-4.4921875,62,-6.875,-6.695,1.678,-8.74453125,-4.409375,40,0.01563,dangerous_useful
9,319,transistor,transistor,specific,{} with cut lead,transistor with cut lead,1.0,1.0,-6.47,-6.125,1.146,-7.24140625,-4.268750000000001,62,-6.773,-6.406,1.746,-8.3953125,-4.4359375,40,0.3047,dangerous_useful
10,320,transistor,transistor,specific,{} with damage,transistor with damage,1.0,1.0,-6.227,-6.01,1.046,-7.184375,-4.5640625,62,-6.133,-6.043,1.368,-7.5171874999999995,-4.182031249999999,40,-0.09375,dangerous_useless
11,321,transistor,transistor,specific,{} with misplaced transistor,transistor with misplaced transistor,1.0,1.0,-8.11,-7.887,0.966,-8.88515625,-6.71171875,62,-8.0,-7.98,1.359,-9.52734375,-5.9640625,40,-0.1094,dangerous_useless
