prompt_index,prompt_id,class,display_name,type,template,full_text,R_j_0,R_j_eps,median_margin_normal,mean_margin_normal,std_margin_normal,q10_margin_normal,q90_margin_normal,num_normal_samples,median_margin_abnormal,mean_margin_abnormal,std_margin_abnormal,q10_margin_abnormal,q90_margin_abnormal,num_abnormal_samples,separation_gap,prompt_classification
0,1,bottle,bottle,generic,damaged {},damaged bottle,1.0,1.0,-2.164,-2.172,0.2203,-2.47109375,-1.93359375,22,-2.094,-2.102,0.5674,-2.65625,-1.4234375,63,-0.0703,dangerous_useless
1,2,bottle,bottle,generic,flawed {},flawed bottle,1.0,1.0,-0.922,-0.8906,0.213,-1.11484375,-0.6601562499999998,22,-0.1094,-0.1716,0.6343,-1.03125,0.64375,63,-0.8125,dangerous_useless
2,3,bottle,bottle,generic,abnormal {},abnormal bottle,0.3181818181818182,0.3636363636363636,0.3281,0.4634,0.6987,-0.315625,1.4703125,22,0.1953,0.3857,0.8594,-0.4875,1.3375,63,0.1328,dangerous_useful
3,4,bottle,bottle,generic,imperfect {},imperfect bottle,1.0,1.0,-3.676,-3.709,0.3713,-4.25390625,-3.1460937499999995,22,-2.508,-2.518,1.165,-4.00625,-0.9734374999999996,63,-1.168,dangerous_useless
4,5,bottle,bottle,generic,blemished {},blemished bottle,1.0,1.0,-1.48,-1.465,0.1864,-1.71484375,-1.23046875,22,-0.6797,-0.5513,0.9893,-1.6875,0.890625,63,-0.801,dangerous_useless
5,6,bottle,bottle,generic,{} with flaw,bottle with flaw,0.0909090909090909,0.1363636363636363,0.2188,0.2397,0.2032,0.0125,0.475,22,0.0703,0.05368,0.6157,-0.6484375,0.8296875000000004,63,0.1484,safe
6,7,bottle,bottle,generic,{} with defect,bottle with defect,0.3181818181818182,0.3636363636363636,0.1211,0.0966,0.2874,-0.24140625,0.4320312500000003,22,-0.3672,-0.3594,0.9297,-1.5390625,0.8031250000000003,63,0.4883,dangerous_useful
7,8,bottle,bottle,generic,{} with damage,bottle with damage,0.9090909090909092,0.9545454545454546,-0.4648,-0.4797,0.359,-0.90546875,-0.1234374999999998,22,-1.078,-1.134,0.6562,-2.075,-0.3749999999999998,63,0.6133,dangerous_useful
8,9,bottle,bottle,specific,{} with large breakage,bottle with large breakage,1.0,1.0,-1.109,-1.065,0.6,-1.909375,-0.2968749999999998,22,-1.719,-1.747,0.5522,-2.2890625,-1.1203124999999998,63,0.6094,dangerous_useful
9,10,bottle,bottle,specific,{} with small breakage,bottle with small breakage,1.0,1.0,-1.895,-1.79,0.7065,-2.74921875,-0.7960937499999997,22,-2.43,-2.361,0.581,-2.9703125,-1.5343749999999998,63,0.535,dangerous_useful
10,11,bottle,bottle,specific,{} with contamination,bottle with contamination,0.0909090909090909,0.0909090909090909,0.2734,0.3508,0.269,0.103125,0.7515625000000001,22,0.3047,0.2478,0.5825,-0.375,1.1000000000000003,63,-0.03125,safe
0,12,cable,cable,generic,damaged {},damaged cable,0.9666666666666668,0.9666666666666668,-0.8945,-0.9146,0.4966,-1.54609375,-0.3617187499999999,60,-0.965,-0.959,0.518,-1.59296875,-0.4390624999999999,92,0.0703,dangerous_useful
1,13,cable,cable,generic,flawed {},flawed cable,0.2333333333333333,0.25,0.633,0.4844,0.8086,-0.8765625,1.38359375,60,0.2188,0.0062,0.8647,-1.18359375,1.078125,92,0.414,dangerous_useful
2,14,cable,cable,generic,abnormal {},abnormal cable,0.6166666666666667,0.65,-0.1094,-0.2416,0.4944,-0.89140625,0.36796875,60,-0.3828,-0.4807,0.6333,-1.18515625,0.3125,92,0.2734,dangerous_useful
3,15,cable,cable,generic,imperfect {},imperfect cable,1.0,1.0,-2.508,-2.521,0.2878,-2.9078125,-2.18984375,60,-2.562,-2.451,0.49,-2.94375,-1.89375,92,0.0547,dangerous_useful
4,16,cable,cable,generic,blemished {},blemished cable,0.1833333333333333,0.2,0.4336,0.292,0.541,-0.671875,0.75859375,60,0.2852,-0.0366,0.7324,-1.13125,0.7265625,92,0.1484,dangerous_useful
5,17,cable,cable,generic,{} with flaw,cable with flaw,0.2166666666666666,0.25,0.3203,0.2964,0.3843,-0.1507812499999999,0.81640625,60,0.3555,0.362,0.5645,-0.3453125,1.11484375,92,-0.03516,dangerous_useless
6,18,cable,cable,generic,{} with defect,cable with defect,1.0,1.0,-2.473,-2.42,0.552,-3.02578125,-1.7734375,60,-1.914,-1.931,0.786,-2.878125,-0.7820312499999995,92,-0.5586,dangerous_useless
7,19,cable,cable,generic,{} with damage,cable with damage,0.95,0.9666666666666668,-0.6484,-0.6265,0.3572,-1.06328125,-0.1382812499999999,60,-0.7227,-0.724,0.5137,-1.225,-0.1093749999999995,92,0.0742,dangerous_useful
8,20,cable,cable,specific,{} with bent wire,cable with bent wire,0.2666666666666666,0.2666666666666666,0.3398,0.3157,0.5854,-0.3953124999999999,1.0625,60,0.1953,0.1971,0.874,-0.89453125,1.11640625,92,0.1445,dangerous_useful
9,21,cable,cable,specific,{} with missing part,cable with missing part,1.0,1.0,-0.8555,-0.8696,0.2625,-1.23515625,-0.57734375,60,-0.7617,-0.8037,0.5176,-1.51484375,-0.2601562499999998,92,-0.09375,dangerous_useless
10,22,cable,cable,specific,{} with missing wire,cable with missing wire,1.0,1.0,-1.453,-1.455,0.3403,-1.8328125,-0.9828125,60,-1.297,-1.264,0.631,-2.0546875,-0.5906249999999997,92,-0.1562,dangerous_useless
