,i_roc,semantic_i_roc,memory_i_roc
mvtec-carpet,100.00,99.96,99.80
mvtec-grid,97.49,98.45,97.24
mvtec-leather,100.00,100.00,99.86
mvtec-tile,99.93,99.91,98.59
mvtec-wood,99.39,98.55,98.86
mvtec-bottle,99.52,97.06,99.52
mvtec-cable,94.25,83.57,92.82
mvtec-capsule,85.20,82.37,84.72
mvtec-hazelnut,99.93,91.88,99.86
mvtec-metal_nut,99.56,92.35,99.41
mvtec-pill,94.24,88.48,92.80
mvtec-screw,61.55,63.28,55.87
mvtec-toothbrush,94.44,72.50,94.17
mvtec-transistor,94.38,89.65,86.87
mvtec-zipper,97.69,97.90,73.06
