,i_roc,semantic_i_roc,memory_i_roc,p_roc
mvtec-carpet,100.00,99.96,99.88,99.41
mvtec-grid,99.42,99.29,95.32,98.19
mvtec-leather,100.00,100.00,99.08,99.43
mvtec-tile,100.00,100.00,100.00,96.84
mvtec-wood,99.04,98.20,98.42,96.28
mvtec-bottle,99.68,97.38,99.68,98.79
mvtec-cable,97.68,89.30,95.43,97.01
mvtec-capsule,93.66,91.50,84.16,96.10
mvtec-hazelnut,100.00,92.79,100.00,98.75
mvtec-metal_nut,100.00,93.11,100.00,
mvtec-pill,95.58,88.52,94.79,95.98
mvtec-screw,67.06,59.90,66.20,94.35
mvtec-toothbrush,97.50,86.94,97.22,99.10
mvtec-transistor,94.50,91.04,87.54,92.61
mvtec-zipper,97.90,97.40,91.89,92.93
