dataset,class,i_roc,duration,status
mvtec,bottle,97.14,6.880161762237549,success
mvtec,cable,88.17,9.665136098861694,success
mvtec,capsule,62.03,9.07785677909851,success
mvtec,carpet,100.0,8.775351285934448,success
mvtec,grid,97.66,6.358919382095337,success
mvtec,hazelnut,99.45,8.313077211380005,success
mvtec,leather,99.9,8.645485639572144,success
mvtec,metal_nut,98.36,6.975893020629883,success
mvtec,pill,93.74,8.445831537246704,success
mvtec,screw,49.68,7.537520170211792,success
mvtec,tile,98.3,7.854022741317749,success
mvtec,toothbrush,89.44,6.410296440124512,success
mvtec,transistor,73.12,8.180723428726196,success
mvtec,wood,98.6,7.727675676345825,success
mvtec,zipper,95.43,7.382652997970581,success
visa,candle,87.68,14.513681411743164,success
visa,capsules,73.97,11.729887247085571,success
visa,cashew,89.53,11.31810188293457,success
visa,chewinggum,94.34,10.366917371749878,success
visa,fryum,91.92,10.28248143196106,success
visa,macaroni1,80.71,14.31343126296997,success
visa,macaroni2,67.8,14.267001628875732,success
visa,pcb1,92.59,15.630241632461548,success
visa,pcb2,80.05,15.478902816772461,success
visa,pcb3,73.18,14.461480617523193,success
visa,pcb4,93.01,15.305599927902222,success
visa,pipe_fryum,99.29,10.18575406074524,success
